engagementid,contentid,contenttype,likes,engagementdate,campaignid,productid,views,clicks
1162,CONT_01162,Blog,116,2023-02-12,CAMP_002,28,19806,780
1163,CONT_01163,Blog,94,2023-07-26,CAMP_006,41,17190,2204
1164,CONT_01164,SocialMedia,504,2024-05-11,CAMP_008,48,19548,1022
1165,CONT_01165,SocialMedia,5346,2023-08-28,CAMP_001,49,47574,11310
1166,CONT_01166,Newsletter,1254,2023-04-13,CAMP_009,11,47667,13448
1167,CONT_01167,Blog,121,2024-11-12,CAMP_004,37,44444,326
1168,CONT_01168,SocialMedia,395,2024-04-17,CAMP_009,8,4892,1131
1169,CONT_01169,Blog,41,2023-06-07,CAMP_004,35,2287,607
1170,CONT_01170,SocialMedia,3939,2023-01-07,CAMP_003,43,38326,11189
1171,CONT_01171,Video,811,2024-01-02,CAMP_007,20,21239,2014
1172,CONT_01172,Video,203,2023-12-24,CAMP_005,50,5055,1290
1173,CONT_01173,Newsletter,1029,2024-08-29,CAMP_010,45,34799,6451
1174,CONT_01174,Newsletter,50,2023-08-26,CAMP_009,45,1591,389
1175,CONT_01175,Video,67,2023-03-14,CAMP_008,41,9930,285
1176,CONT_01176,Video,30,2024-09-13,CAMP_001,39,17627,2677
1177,CONT_01177,Blog,3001,2024-05-05,CAMP_003,34,41269,11107
1178,CONT_01178,Newsletter,974,2024-08-13,CAMP_002,2,40795,5620
1179,CONT_01179,Newsletter,460,2023-08-07,CAMP_009,12,32011,3760
1180,CONT_01180,Newsletter,789,2023-10-30,CAMP_009,43,21468,1822
1181,CONT_01181,Blog,2371,2024-02-03,CAMP_007,34,45867,4964
1182,CONT_01182,SocialMedia,2253,2023-12-20,CAMP_006,48,37025,5984
1183,CONT_01183,SocialMedia,30,2024-12-17,CAMP_006,44,605,78
1184,CONT_01184,Video,1279,2024-05-18,CAMP_010,10,20696,4560
1185,CONT_01185,Blog,63,2024-12-08,CAMP_009,30,4231,800
1186,CONT_01186,Blog,358,2023-04-16,CAMP_008,30,44967,2256
1187,CONT_01187,Video,98,2023-09-15,CAMP_010,34,4081,324
1188,CONT_01188,SocialMedia,32,2023-01-07,CAMP_005,7,2207,263
1189,CONT_01189,Blog,1050,2023-03-11,CAMP_001,10,32401,2200
1190,CONT_01190,Newsletter,1845,2023-12-01,CAMP_006,8,22884,6747
1191,CONT_01191,SocialMedia,339,2023-02-27,CAMP_008,49,30863,964
1192,CONT_01192,Newsletter,1743,2023-08-01,CAMP_001,12,43441,12250
1193,CONT_01193,SocialMedia,1768,2024-03-23,CAMP_009,40,31102,6392
1194,CONT_01194,SocialMedia,302,2024-03-03,CAMP_003,7,11263,2053
1195,CONT_01195,SocialMedia,1433,2024-07-29,CAMP_003,41,24382,4777
1196,CONT_01196,Video,336,2023-03-07,CAMP_010,11,23467,3308
1197,CONT_01197,Video,300,2023-11-08,CAMP_005,5,2654,647
1198,CONT_01198,Video,885,2023-07-20,CAMP_008,49,14134,3646
1199,CONT_01199,SocialMedia,2090,2023-12-29,CAMP_009,28,27856,4835
1200,CONT_01200,Video,2400,2024-01-02,CAMP_006,44,29137,6893
1201,CONT_01201,Newsletter,17,2024-07-28,CAMP_007,24,793,132
1202,CONT_01202,Blog,3397,2023-10-14,CAMP_006,5,39761,9570
1203,CONT_01203,Blog,30,2024-09-23,CAMP_003,22,42519,135
1204,CONT_01204,Newsletter,20,2024-03-10,CAMP_005,25,682,129
1205,CONT_01205,Newsletter,383,2024-07-12,CAMP_001,50,3539,918
1206,CONT_01206,Video,37,2024-12-10,CAMP_007,15,27188,6925
1207,CONT_01207,SocialMedia,36,2024-03-03,CAMP_003,49,2575,352
1208,CONT_01208,Newsletter,1343,2023-01-29,CAMP_010,11,41764,10522
1209,CONT_01209,SocialMedia,402,2023-08-18,CAMP_009,1,7702,805
1210,CONT_01210,SocialMedia,2317,2023-09-29,CAMP_007,9,44539,11869
1211,CONT_01211,Newsletter,402,2023-10-28,CAMP_009,30,21745,5939
1212,CONT_01212,Video,332,2024-11-17,CAMP_002,9,31386,1550
1213,CONT_01213,Video,4600,2024-09-04,CAMP_004,47,49900,13246
1214,CONT_01214,Video,688,2024-05-27,CAMP_005,37,41923,3769
1215,CONT_01215,Blog,366,2024-10-22,CAMP_010,46,23270,1875
1216,CONT_01216,Video,2681,2024-11-26,CAMP_006,6,36552,7807
1217,CONT_01217,SocialMedia,43,2024-07-15,CAMP_002,32,37943,773
1218,CONT_01218,Video,269,2023-05-06,CAMP_002,19,30483,4136
1219,CONT_01219,Newsletter,154,2024-07-09,CAMP_010,46,28263,467
1220,CONT_01220,Blog,11,2023-10-16,CAMP_006,39,4025,694
1221,CONT_01221,Newsletter,931,2024-10-26,CAMP_005,4,7184,1902
1222,CONT_01222,Blog,2020,2024-01-11,CAMP_009,14,24233,5104
1223,CONT_01223,Video,1239,2023-10-07,CAMP_003,6,19561,2979
1224,CONT_01224,Blog,53,2024-06-05,CAMP_005,6,11176,118
1225,CONT_01225,SocialMedia,565,2024-08-06,CAMP_001,30,27177,2675
1226,CONT_01226,Newsletter,105,2023-11-15,CAMP_002,22,22058,335
1227,CONT_01227,Blog,947,2024-01-14,CAMP_008,49,38102,3409
1228,CONT_01228,Newsletter,2702,2023-01-31,CAMP_007,6,29520,6260
1229,CONT_01229,Newsletter,399,2024-01-09,CAMP_002,11,7888,915
1230,CONT_01230,Video,787,2024-09-07,CAMP_006,50,36977,3408
1231,CONT_01231,Video,665,2024-05-11,CAMP_008,48,24387,4458
1232,CONT_01232,Blog,1086,2023-05-20,CAMP_007,39,38709,10197
1233,CONT_01233,Blog,1041,2024-09-04,CAMP_001,28,25971,4664
1234,CONT_01234,Blog,1028,2024-03-10,CAMP_002,2,42770,2967
1235,CONT_01235,Blog,167,2024-11-04,CAMP_003,2,15266,2950
1236,CONT_01236,Video,3153,2024-08-20,CAMP_002,22,38927,11657
1237,CONT_01237,Newsletter,1080,2023-07-19,CAMP_009,23,17599,4972
1238,CONT_01238,Newsletter,2332,2024-06-08,CAMP_005,38,31738,5924
1239,CONT_01239,Blog,3657,2024-12-24,CAMP_009,32,35929,7808
1240,CONT_01240,Blog,654,2024-11-09,CAMP_002,8,34307,1501
1241,CONT_01241,SocialMedia,664,2023-08-02,CAMP_004,7,31515,5387
1242,CONT_01242,Video,332,2024-03-28,CAMP_001,43,18554,717
1243,CONT_01243,Newsletter,135,2024-05-30,CAMP_008,50,6941,346
1244,CONT_01244,Newsletter,3985,2024-09-23,CAMP_001,33,49368,8404
1245,CONT_01245,Blog,35,2024-06-03,CAMP_003,12,11783,757
1246,CONT_01246,Blog,989,2023-11-22,CAMP_002,39,34517,4862
1247,CONT_01247,Newsletter,435,2023-09-19,CAMP_010,23,37316,1657
1248,CONT_01248,Newsletter,46,2024-11-15,CAMP_006,40,2753,347
1249,CONT_01249,Blog,1056,2023-10-29,CAMP_003,9,41918,3103
1250,CONT_01250,Video,371,2023-05-08,CAMP_009,50,33173,766
1251,CONT_01251,SocialMedia,263,2024-05-19,CAMP_005,14,6770,538
1252,CONT_01252,Video,351,2024-04-29,CAMP_010,11,4384,749
1253,CONT_01253,Video,519,2023-08-17,CAMP_004,16,42385,1538
1254,CONT_01254,Video,1035,2023-06-17,CAMP_003,4,15746,3396
1255,CONT_01255,Blog,637,2024-12-06,CAMP_008,40,22433,1327
1256,CONT_01256,Newsletter,369,2023-03-25,CAMP_002,25,19358,3359
1257,CONT_01257,Newsletter,94,2023-02-14,CAMP_009,9,4008,904
1258,CONT_01258,Blog,39,2024-11-03,CAMP_007,28,18052,130
1259,CONT_01259,Video,2745,2023-08-07,CAMP_007,10,42189,5585
1260,CONT_01260,SocialMedia,1829,2023-12-07,CAMP_001,41,46120,4067
1261,CONT_01261,Blog,782,2024-07-08,CAMP_010,21,18251,2149
1262,CONT_01262,Blog,549,2023-10-20,CAMP_009,38,37424,1403
1263,CONT_01263,Video,4793,2023-10-12,CAMP_010,29,44317,11870
1264,CONT_01264,SocialMedia,122,2023-10-23,CAMP_008,17,31052,2453
1265,CONT_01265,Video,468,2024-01-05,CAMP_007,15,44991,1815
1266,CONT_01266,Video,676,2023-04-14,CAMP_005,20,17728,3197
1267,CONT_01267,Video,2984,2024-05-11,CAMP_005,34,45966,13172
1268,CONT_01268,Blog,665,2023-11-21,CAMP_003,46,48947,5263
1269,CONT_01269,Newsletter,81,2024-09-17,CAMP_004,2,21340,190
1270,CONT_01270,Video,485,2024-07-25,CAMP_005,10,5887,1024
1271,CONT_01271,Blog,239,2024-03-23,CAMP_010,40,39556,1654
1272,CONT_01272,Newsletter,1270,2023-08-08,CAMP_008,32,35033,3634
1273,CONT_01273,Newsletter,765,2023-05-05,CAMP_006,17,9183,1857
1274,CONT_01274,SocialMedia,172,2023-01-02,CAMP_004,34,8075,722
1275,CONT_01275,SocialMedia,83,2024-05-01,CAMP_003,12,6918,431
1276,CONT_01276,SocialMedia,99,2024-03-31,CAMP_005,5,30339,2445
1277,CONT_01277,Newsletter,355,2023-02-23,CAMP_007,16,31793,857
1278,CONT_01278,SocialMedia,4560,2024-05-16,CAMP_008,14,40092,9176
1279,CONT_01279,SocialMedia,10,2024-06-27,CAMP_006,34,10939,447
1280,CONT_01280,SocialMedia,1469,2024-11-29,CAMP_009,12,30649,6041
1281,CONT_01281,Newsletter,145,2024-09-10,CAMP_005,50,10927,408
1282,CONT_01282,Video,364,2024-06-03,CAMP_010,46,48161,1048
1283,CONT_01283,Blog,195,2024-07-28,CAMP_002,32,7034,1157
1284,CONT_01284,SocialMedia,36,2023-09-19,CAMP_004,13,42608,83
1285,CONT_01285,Video,202,2023-10-18,CAMP_010,44,20730,1651
1286,CONT_01286,Newsletter,532,2024-10-02,CAMP_001,18,39545,7337
1287,CONT_01287,Blog,1777,2023-07-09,CAMP_005,10,37534,11108
1288,CONT_01288,Video,22,2024-09-19,CAMP_002,44,41567,573
1289,CONT_01289,Newsletter,236,2023-05-17,CAMP_005,42,25153,1628
1290,CONT_01290,SocialMedia,3143,2023-06-24,CAMP_005,17,34301,8208
1291,CONT_01291,Newsletter,246,2024-05-12,CAMP_002,9,38041,515
1292,CONT_01292,Blog,517,2024-09-26,CAMP_009,38,11445,1548
1293,CONT_01293,Newsletter,28,2023-11-07,CAMP_002,37,5619,152
1294,CONT_01294,SocialMedia,307,2024-10-29,CAMP_010,24,11171,1200
1295,CONT_01295,SocialMedia,2346,2024-08-19,CAMP_002,23,29378,6339
1296,CONT_01296,SocialMedia,184,2023-04-03,CAMP_010,30,35917,3498
1297,CONT_01297,Newsletter,228,2024-02-20,CAMP_006,4,23885,924
1298,CONT_01298,Blog,57,2023-10-10,CAMP_005,2,3666,157
1299,CONT_01299,SocialMedia,69,2024-11-12,CAMP_003,15,26049,534
1300,CONT_01300,Blog,763,2023-04-05,CAMP_001,3,22749,3911
1301,CONT_01301,Blog,2211,2023-12-24,CAMP_008,20,27435,6197
1302,CONT_01302,SocialMedia,1133,2023-10-04,CAMP_008,41,31615,3929
1303,CONT_01303,Blog,1509,2024-05-29,CAMP_002,25,36334,4465
1304,CONT_01304,SocialMedia,54,2024-08-29,CAMP_002,35,12057,488
1305,CONT_01305,SocialMedia,981,2023-05-18,CAMP_006,8,13193,3545
1306,CONT_01306,Blog,266,2023-07-30,CAMP_002,4,44000,8590
1307,CONT_01307,SocialMedia,60,2024-01-07,CAMP_001,25,15735,3659
1308,CONT_01308,Newsletter,1395,2023-12-25,CAMP_003,10,37003,2907
1309,CONT_01309,SocialMedia,1387,2023-10-13,CAMP_008,25,26276,2807
1310,CONT_01310,SocialMedia,314,2024-01-15,CAMP_006,39,28844,1561
1311,CONT_01311,Blog,373,2023-10-16,CAMP_003,14,22672,1895
1312,CONT_01312,Newsletter,878,2024-04-07,CAMP_007,48,17253,3629
1313,CONT_01313,SocialMedia,1606,2023-03-17,CAMP_008,20,46241,7944
1314,CONT_01314,Newsletter,696,2023-06-20,CAMP_003,19,18685,2963
1315,CONT_01315,SocialMedia,1758,2023-09-24,CAMP_003,24,24094,4943
1316,CONT_01316,Video,202,2023-10-06,CAMP_004,31,35391,911
1317,CONT_01317,Blog,173,2024-12-12,CAMP_004,19,43426,6573
1318,CONT_01318,Newsletter,65,2024-03-14,CAMP_001,8,15056,616
1319,CONT_01319,Video,919,2024-08-02,CAMP_010,24,22993,1971
1320,CONT_01320,SocialMedia,769,2024-10-16,CAMP_006,18,6782,1631
1321,CONT_01321,SocialMedia,21,2024-11-23,CAMP_005,14,6620,761
1322,CONT_01322,Newsletter,435,2024-07-15,CAMP_001,34,4484,1124
1323,CONT_01323,SocialMedia,3034,2023-12-27,CAMP_009,42,47572,12310
1324,CONT_01324,SocialMedia,928,2024-01-18,CAMP_010,29,21516,2203
1325,CONT_01325,Newsletter,1207,2023-06-15,CAMP_010,42,23400,6060
1326,CONT_01326,Blog,403,2024-06-26,CAMP_003,31,20373,1794
1327,CONT_01327,Video,2036,2024-11-19,CAMP_009,21,17265,4843
1328,CONT_01328,Blog,3541,2024-05-07,CAMP_003,49,30195,8610
1329,CONT_01329,Video,351,2024-06-26,CAMP_001,35,34027,1802
1330,CONT_01330,Newsletter,2152,2024-01-18,CAMP_002,7,34738,9804
1331,CONT_01331,SocialMedia,432,2024-05-08,CAMP_002,42,10903,1210
1332,CONT_01332,SocialMedia,234,2023-04-19,CAMP_001,1,11711,936
1333,CONT_01333,SocialMedia,2518,2024-10-18,CAMP_007,13,41308,6081
1334,CONT_01334,Video,1447,2024-04-08,CAMP_001,24,37166,8010
1335,CONT_01335,SocialMedia,135,2024-01-21,CAMP_002,15,3223,626
1336,CONT_01336,Blog,570,2023-04-21,CAMP_010,31,20931,3387
1337,CONT_01337,SocialMedia,300,2024-11-04,CAMP_001,14,43524,4784
1338,CONT_01338,Newsletter,109,2024-08-04,CAMP_004,10,35272,282
1339,CONT_01339,Video,49,2023-07-14,CAMP_001,49,6489,984
1340,CONT_01340,SocialMedia,168,2024-04-15,CAMP_002,34,32254,508
1341,CONT_01341,Video,292,2024-04-21,CAMP_008,45,30572,985
1342,CONT_01342,SocialMedia,436,2024-08-07,CAMP_003,29,42244,1779
1343,CONT_01343,Video,1704,2023-02-18,CAMP_002,3,32634,5121
1344,CONT_01344,Blog,3635,2024-04-26,CAMP_005,4,42263,10032
1345,CONT_01345,Blog,42,2024-06-09,CAMP_004,9,30774,951
1346,CONT_01346,Video,3272,2024-01-26,CAMP_002,35,45658,12870
1347,CONT_01347,Blog,53,2023-09-07,CAMP_008,3,711,184
1348,CONT_01348,Blog,10,2023-06-03,CAMP_003,9,1855,101
1349,CONT_01349,Blog,903,2024-09-20,CAMP_001,21,26436,4634
1350,CONT_01350,Blog,19,2024-07-13,CAMP_002,47,2843,174
1351,CONT_01351,Newsletter,468,2023-01-06,CAMP_007,30,18103,4867
1352,CONT_01352,Newsletter,50,2023-04-23,CAMP_005,40,31751,1111
1353,CONT_01353,Video,1722,2023-07-03,CAMP_009,10,28388,3808
1354,CONT_01354,SocialMedia,1063,2023-05-19,CAMP_010,22,37686,6294
1355,CONT_01355,Newsletter,232,2023-03-06,CAMP_008,2,29733,2439
1356,CONT_01356,SocialMedia,1228,2024-02-04,CAMP_006,21,17092,2519
1357,CONT_01357,Blog,651,2023-03-27,CAMP_009,43,46775,4562
1358,CONT_01358,SocialMedia,2159,2023-02-21,CAMP_006,45,17760,5264
1359,CONT_01359,Newsletter,18,2023-06-24,CAMP_005,10,40980,5435
1360,CONT_01360,Video,230,2023-09-08,CAMP_006,12,9564,1765
1361,CONT_01361,SocialMedia,1187,2024-05-30,CAMP_008,32,30839,5298
1362,CONT_01362,Blog,11,2023-06-08,CAMP_001,26,13233,679
1363,CONT_01363,Blog,1077,2023-01-15,CAMP_004,7,40844,10496
1364,CONT_01364,Newsletter,3796,2023-10-14,CAMP_005,34,48474,12925
1365,CONT_01365,SocialMedia,2281,2023-01-12,CAMP_008,13,49361,8064
1366,CONT_01366,Blog,1781,2023-08-24,CAMP_001,45,20113,5064
1367,CONT_01367,Newsletter,725,2024-08-04,CAMP_007,3,29933,7209
1368,CONT_01368,SocialMedia,3566,2024-10-28,CAMP_005,40,46968,10022
1369,CONT_01369,Blog,141,2024-05-19,CAMP_002,27,42275,730
1370,CONT_01370,Video,1062,2023-11-25,CAMP_009,17,39517,5418
1371,CONT_01371,Video,955,2023-05-01,CAMP_004,45,23055,3882
1372,CONT_01372,Newsletter,181,2024-04-21,CAMP_009,48,13444,1093
1373,CONT_01373,SocialMedia,960,2023-08-09,CAMP_003,50,11936,2184
1374,CONT_01374,SocialMedia,666,2023-09-21,CAMP_009,41,25247,3541
1375,CONT_01375,Video,1196,2024-03-14,CAMP_005,22,20496,4916
1376,CONT_01376,Video,1504,2023-01-31,CAMP_001,10,12893,3704
1377,CONT_01377,Blog,861,2023-12-01,CAMP_010,19,15814,3201
1378,CONT_01378,Video,1142,2023-06-26,CAMP_004,9,13688,2319
1379,CONT_01379,SocialMedia,1012,2023-08-12,CAMP_006,25,22316,5974
1380,CONT_01380,Newsletter,278,2024-09-05,CAMP_007,24,11111,592
1381,CONT_01381,Newsletter,619,2024-11-11,CAMP_001,15,20374,5004
1382,CONT_01382,Blog,1318,2024-02-11,CAMP_002,40,15754,3873
1383,CONT_01383,Blog,1983,2023-01-09,CAMP_002,20,44539,7536
1384,CONT_01384,Blog,280,2023-04-21,CAMP_007,10,5676,779
1385,CONT_01385,SocialMedia,338,2024-07-15,CAMP_002,8,16448,2289
1386,CONT_01386,Video,1393,2023-02-09,CAMP_010,50,47844,6685
1387,CONT_01387,Blog,3616,2024-10-14,CAMP_006,2,39830,7398
1388,CONT_01388,Video,1133,2023-05-04,CAMP_006,5,49151,9970
1389,CONT_01389,Blog,767,2023-03-05,CAMP_001,42,40057,9170
1390,CONT_01390,Video,14,2024-04-15,CAMP_008,15,1491,68
1391,CONT_01391,SocialMedia,1385,2024-02-11,CAMP_010,19,44889,6195
1392,CONT_01392,SocialMedia,1143,2023-01-09,CAMP_009,12,27570,3141
1393,CONT_01393,Newsletter,465,2024-03-03,CAMP_004,45,11310,1662
1394,CONT_01394,Blog,41,2024-04-14,CAMP_006,15,16653,698
1395,CONT_01395,Newsletter,146,2023-07-10,CAMP_007,47,18608,941
1396,CONT_01396,Video,106,2024-11-17,CAMP_005,47,14966,301
1397,CONT_01397,Newsletter,528,2023-07-26,CAMP_009,48,18934,1678
1398,CONT_01398,Blog,560,2024-12-08,CAMP_009,47,20191,5855
1399,CONT_01399,Video,282,2023-10-19,CAMP_008,17,3849,778
1400,CONT_01400,SocialMedia,2011,2023-12-11,CAMP_003,33,38770,4847
1401,CONT_01401,Newsletter,635,2023-12-08,CAMP_010,30,11112,2719
1402,CONT_01402,SocialMedia,716,2024-12-09,CAMP_005,2,19357,2834
1403,CONT_01403,Video,13,2023-11-04,CAMP_010,40,1897,59
1404,CONT_01404,Newsletter,2167,2023-11-26,CAMP_005,24,31513,7349
1405,CONT_01405,SocialMedia,187,2024-03-26,CAMP_010,35,43026,563
1406,CONT_01406,Newsletter,618,2023-06-30,CAMP_004,16,8892,1815
1407,CONT_01407,Video,78,2023-02-03,CAMP_003,42,48405,13731
1408,CONT_01408,Video,695,2024-11-05,CAMP_003,41,13301,2486
1409,CONT_01409,Video,1735,2024-05-14,CAMP_004,7,14009,3772
1410,CONT_01410,SocialMedia,380,2024-06-27,CAMP_008,3,10862,1325
1411,CONT_01411,Blog,129,2023-03-06,CAMP_008,23,6724,1561
1412,CONT_01412,Blog,757,2024-07-24,CAMP_004,27,44214,3429
1413,CONT_01413,SocialMedia,1454,2023-05-08,CAMP_006,6,37404,10404
1414,CONT_01414,Video,461,2024-07-20,CAMP_008,36,20752,2601
1415,CONT_01415,Newsletter,92,2024-12-01,CAMP_010,14,4985,523
1416,CONT_01416,Video,696,2023-02-27,CAMP_006,18,44346,8463
1417,CONT_01417,SocialMedia,1001,2023-08-07,CAMP_010,28,10923,3005
1418,CONT_01418,Video,265,2024-03-16,CAMP_002,50,13744,3554
1419,CONT_01419,SocialMedia,1166,2024-07-16,CAMP_007,43,39786,10148
1420,CONT_01420,Newsletter,976,2024-05-07,CAMP_006,7,10538,2780
1421,CONT_01421,Video,3246,2023-05-21,CAMP_001,45,43577,7254
1422,CONT_01422,Newsletter,157,2024-01-29,CAMP_007,40,49562,5845
1423,CONT_01423,Blog,652,2024-02-10,CAMP_009,22,42551,2154
1424,CONT_01424,Video,2352,2023-08-31,CAMP_004,7,28049,4729
1425,CONT_01425,Blog,2620,2024-12-25,CAMP_009,21,25503,6249
1426,CONT_01426,Video,776,2023-05-09,CAMP_002,34,11650,1634
1427,CONT_01427,Blog,90,2023-09-09,CAMP_007,16,45928,10803
1428,CONT_01428,SocialMedia,511,2024-07-17,CAMP_006,11,24704,6109
1429,CONT_01429,SocialMedia,429,2023-12-29,CAMP_007,6,6330,925
1430,CONT_01430,SocialMedia,386,2023-09-04,CAMP_010,33,4552,951
1431,CONT_01431,Newsletter,2103,2023-10-24,CAMP_006,18,44419,4817
1432,CONT_01432,Video,10,2024-04-20,CAMP_005,22,13530,171
1433,CONT_01433,Newsletter,506,2024-10-25,CAMP_005,27,31228,4817
1434,CONT_01434,Video,208,2024-02-16,CAMP_004,13,33361,3490
1435,CONT_01435,SocialMedia,732,2024-03-19,CAMP_004,3,15028,2034
1436,CONT_01436,Video,1418,2024-06-01,CAMP_007,26,23646,3845
1437,CONT_01437,Blog,96,2023-01-24,CAMP_008,47,4324,432
1438,CONT_01438,Newsletter,207,2024-08-12,CAMP_006,2,3423,1008
1439,CONT_01439,Video,58,2024-03-06,CAMP_009,40,28453,1391
1440,CONT_01440,Newsletter,288,2024-01-30,CAMP_005,32,48685,3477
1441,CONT_01441,Video,2137,2023-03-07,CAMP_003,44,43000,11668
1442,CONT_01442,Video,2139,2023-07-20,CAMP_010,28,49819,13777
1443,CONT_01443,Video,1204,2024-02-02,CAMP_001,1,14285,2657
1444,CONT_01444,Blog,1282,2023-01-08,CAMP_009,32,36687,10864
1445,CONT_01445,Blog,508,2024-08-29,CAMP_004,46,14703,4401
1446,CONT_01446,SocialMedia,528,2024-08-29,CAMP_010,15,37618,1607
1447,CONT_01447,Blog,3595,2024-09-10,CAMP_003,7,35514,7879
1448,CONT_01448,Newsletter,547,2023-03-17,CAMP_008,48,6878,1786
1449,CONT_01449,Video,23,2024-06-07,CAMP_001,34,49289,180
1450,CONT_01450,Newsletter,522,2023-05-10,CAMP_007,9,45305,5283
1451,CONT_01451,Video,75,2024-12-03,CAMP_009,40,6169,733
1452,CONT_01452,SocialMedia,456,2023-12-12,CAMP_002,32,7535,1703
1453,CONT_01453,Newsletter,324,2024-04-16,CAMP_005,37,14015,733
1454,CONT_01454,SocialMedia,510,2024-11-23,CAMP_007,12,21874,1177
1455,CONT_01455,Video,876,2024-11-06,CAMP_006,5,16689,4079
1456,CONT_01456,Blog,457,2024-03-10,CAMP_006,8,8858,1362
1457,CONT_01457,Newsletter,183,2024-04-25,CAMP_002,50,7690,1916
1458,CONT_01458,Video,856,2023-06-26,CAMP_009,6,45931,3233
1459,CONT_01459,SocialMedia,58,2023-07-12,CAMP_004,19,15853,2784
1460,CONT_01460,Newsletter,2437,2024-03-01,CAMP_009,29,31524,5148
1461,CONT_01461,Video,2432,2024-03-14,CAMP_006,20,42818,12254
1462,CONT_01462,Video,1010,2023-08-11,CAMP_010,36,8030,2160
1463,CONT_01463,SocialMedia,343,2024-06-06,CAMP_009,32,8829,1401
1464,CONT_01464,Newsletter,189,2023-03-01,CAMP_004,50,3120,847
1465,CONT_01465,Blog,786,2024-01-18,CAMP_001,35,14131,2592
1466,CONT_01466,Newsletter,2835,2023-08-13,CAMP_009,32,27902,7075
1467,CONT_01467,Video,243,2023-11-12,CAMP_002,11,32740,1331
1468,CONT_01468,Video,2049,2023-09-27,CAMP_002,2,42522,8547
1469,CONT_01469,Newsletter,922,2024-03-07,CAMP_007,24,30563,2267
1470,CONT_01470,Newsletter,359,2024-03-07,CAMP_008,41,47231,12720
1471,CONT_01471,Blog,448,2024-01-20,CAMP_008,44,40272,3869
1472,CONT_01472,Newsletter,27,2024-12-01,CAMP_009,17,20907,827
1473,CONT_01473,SocialMedia,143,2023-07-10,CAMP_001,1,8495,508
1474,CONT_01474,SocialMedia,169,2023-09-09,CAMP_006,48,18546,338
1475,CONT_01475,SocialMedia,951,2024-05-12,CAMP_004,44,45338,1907
1476,CONT_01476,SocialMedia,30,2024-11-11,CAMP_001,28,3972,482
1477,CONT_01477,Newsletter,405,2024-05-28,CAMP_005,31,29046,5942
1478,CONT_01478,Newsletter,3835,2024-06-22,CAMP_009,33,42606,10243
1479,CONT_01479,Video,2546,2023-12-31,CAMP_008,45,33305,8104
1480,CONT_01480,Newsletter,364,2024-04-14,CAMP_010,19,19654,4955
1481,CONT_01481,Newsletter,202,2024-08-26,CAMP_003,15,40616,937
1482,CONT_01482,Video,1682,2023-05-17,CAMP_008,43,35817,10688
1483,CONT_01483,Newsletter,608,2023-01-19,CAMP_001,15,28395,4992
1484,CONT_01484,SocialMedia,126,2023-02-20,CAMP_006,9,22189,545
1485,CONT_01485,Video,50,2024-03-29,CAMP_007,24,18363,1429
1486,CONT_01486,Blog,355,2023-07-02,CAMP_010,19,15111,1819
1487,CONT_01487,Video,223,2024-12-06,CAMP_002,2,3976,559
1488,CONT_01488,Video,4656,2023-06-18,CAMP_010,31,41958,11186
1489,CONT_01489,Blog,544,2024-03-10,CAMP_009,29,21297,1737
1490,CONT_01490,Newsletter,4661,2024-04-04,CAMP_007,32,46031,12355
1491,CONT_01491,Newsletter,696,2023-11-04,CAMP_006,26,42225,3263
1492,CONT_01492,Blog,1752,2023-05-04,CAMP_006,48,47768,3763
1493,CONT_01493,SocialMedia,1410,2023-11-08,CAMP_009,42,34061,3182
1494,CONT_01494,Video,22,2023-02-02,CAMP_009,50,4850,415
1495,CONT_01495,Video,22,2023-01-31,CAMP_003,18,3288,369
1496,CONT_01496,Blog,120,2024-02-19,CAMP_005,12,30067,574
1497,CONT_01497,SocialMedia,901,2023-03-21,CAMP_004,20,47871,4117
1498,CONT_01498,SocialMedia,1811,2023-05-07,CAMP_009,37,19659,5180
1499,CONT_01499,Newsletter,86,2024-05-06,CAMP_008,39,26290,1380
1500,CONT_01500,Video,1465,2023-04-11,CAMP_001,7,42560,10039
1501,CONT_01501,Newsletter,556,2023-03-24,CAMP_006,6,18035,4489
1502,CONT_01502,Newsletter,135,2024-12-01,CAMP_010,27,1796,424
1503,CONT_01503,SocialMedia,71,2024-11-09,CAMP_005,38,9922,1171
1504,CONT_01504,Newsletter,2873,2024-10-21,CAMP_006,6,41284,6927
1505,CONT_01505,Newsletter,292,2023-12-26,CAMP_008,4,32050,1555
1506,CONT_01506,Newsletter,3561,2024-06-03,CAMP_007,11,45727,8754
1507,CONT_01507,SocialMedia,1847,2024-04-18,CAMP_002,44,24881,5754
1508,CONT_01508,Newsletter,614,2024-08-07,CAMP_004,45,4814,1228
1509,CONT_01509,Blog,3928,2023-01-02,CAMP_008,41,47771,12221
1510,CONT_01510,Blog,908,2024-08-14,CAMP_007,50,11723,2698
1511,CONT_01511,SocialMedia,384,2024-03-29,CAMP_009,19,20559,2809
1512,CONT_01512,SocialMedia,79,2024-05-23,CAMP_009,41,1196,162
1513,CONT_01513,Blog,707,2024-07-31,CAMP_005,48,19298,3520
1514,CONT_01514,Blog,2233,2024-10-23,CAMP_005,39,35923,6842
1515,CONT_01515,Newsletter,1594,2024-12-16,CAMP_003,1,39967,11687
1516,CONT_01516,SocialMedia,203,2024-07-20,CAMP_007,33,9754,733
1517,CONT_01517,Newsletter,973,2024-01-11,CAMP_006,48,45395,3441
